City,Business Type,Name,Address,Phone Number,Opening Hours
Perpignan,cbd shop,FRENCHY CBD SHOP PERPIGNAN,"150 Av. Maréchal Joffre, 66000 Perpignan, France",06 36 07 01 79,"Monday: 10:00 AM – 7:30 PM, Tuesday: 10:00 AM – 7:30 PM, Wednesday: 10:00 AM – 7:30 PM, Thursday: 10:00 AM – 7:30 PM, Friday: 10:00 AM – 7:30 PM, Saturday: 10:00 AM – 7:30 PM, Sunday: Closed"
Perpignan,cbd shop,CBD Perpignan by sanchristello,"84 Av. Général de Gaulle, 66000 Perpignan, France",07 79 75 93 67,"Monday: 10:00 AM – 2:00 PM, 3:00 – 8:00 PM, Tuesday: 10:00 AM – 2:00 PM, 3:00 – 8:00 PM, Wednesday: 10:00 AM – 2:00 PM, 3:00 – 8:00 PM, Thursday: 10:00 AM – 2:00 PM, 3:00 – 8:00 PM, Friday: 10:00 AM – 2:00 PM, 3:00 – 8:00 PM, Saturday: 10:00 AM – 2:00 PM, 3:00 – 8:00 PM, Sunday: Closed"
Perpignan,cbd shop,Seeds CBD Shop,"9 Rue des Lices, 66100 Perpignan, France",07 89 43 79 55,"Monday: 12:00 – 9:00 PM, Tuesday: 12:00 – 9:00 PM, Wednesday: 12:00 – 9:00 PM, Thursday: 12:00 – 9:00 PM, Friday: 12:00 – 9:00 PM, Saturday: 12:00 – 9:00 PM, Sunday: 3:00 – 8:00 PM"
Perpignan,cbd shop,FRENCHY CBD SHOP - PERPIGNAN,"38 Rue Jean Payra, 66000 Perpignan, France",06 20 99 42 33,"Monday: 10:30 AM – 7:30 PM, Tuesday: 10:30 AM – 7:30 PM, Wednesday: 10:30 AM – 7:30 PM, Thursday: 10:30 AM – 7:30 PM, Friday: 10:30 AM – 7:30 PM, Saturday: 10:30 AM – 7:30 PM, Sunday: Closed"
Perpignan,cbd shop,Emilie - CBD Shop PERPIGNAN,"11 Rue Maximilien de Sully, 66000 Perpignan, France",04 68 67 83 77,"Monday: 9:00 AM – 6:00 PM, Tuesday: 9:00 AM – 6:00 PM, Wednesday: 9:00 AM – 6:00 PM, Thursday: 9:00 AM – 6:00 PM, Friday: 9:00 AM – 6:00 PM, Saturday: 9:00 AM – 6:00 PM, Sunday: 12:00 – 5:00 PM"
Perpignan,cbd shop,Deli Hemp - CBD Perpignan,"1158 Chem. de la Fossella, 66100 Perpignan, France",04 68 38 80 50,"Monday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Tuesday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Wednesday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Thursday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Friday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Saturday: 10:00 AM – 1:00 PM, 2:00 – 7:00 PM, Sunday: Closed"
Perpignan,cbd shop,CBD Épicerie Lancaster,"210 Av. Maréchal Joffre, 66000 Perpignan, France",09 81 99 29 40,"Monday: 10:00 AM – 6:00 PM, Tuesday: 10:00 AM – 6:00 PM, Wednesday: 10:00 AM – 7:00 PM, Thursday: 10:00 AM – 6:00 PM, Friday: 10:00 AM – 6:00 PM, Saturday: 2:00 – 7:00 PM, Sunday: Closed"
Perpignan,cbd shop,Bad Pirate CBD Perpignan ( Saint-Esteve ),"38 Av. Torremila, 66240 Saint-Estève, France",07 78 61 88 78,"Monday: Closed, Tuesday: Closed, Wednesday: 4:00 – 8:00 PM, Thursday: 4:00 – 8:00 PM, Friday: 4:00 – 8:00 PM, Saturday: 4:00 – 8:00 PM, Sunday: Closed"
Perpignan,cbd shop,Cd Project,"20 Rue des Cardeurs, 66000 Perpignan, France",04 68 29 01 89,"Monday: Closed, Tuesday: 2:00 – 7:00 PM, Wednesday: 2:00 – 7:00 PM, Thursday: 2:00 – 7:00 PM, Friday: 2:00 – 7:00 PM, Saturday: 2:00 – 7:00 PM, Sunday: Closed"
Perpignan,cbd shop,CBD ATARAXIE,"7 Bd Félix Mercader, 66000 Perpignan, France",07 61 40 46 89,
Boulogne-Billancourt,cbd shop,Weediz -Vape et CBD shop,"223 Bd Jean Jaurès, 92100 Boulogne-Billancourt, France",06 95 13 15 17,"Monday: 11:00 AM – 8:00 PM, Tuesday: 11:00 AM – 8:00 PM, Wednesday: 11:00 AM – 8:00 PM, Thursday: 11:00 AM – 8:00 PM, Friday: 11:00 AM – 8:00 PM, Saturday: 11:00 AM – 8:00 PM, Sunday: 10:30 AM – 7:30 PM"
Boulogne-Billancourt,cbd shop,Relax shop boulogne Billancourt,"255 Bd Jean Jaurès, 92100 Boulogne-Billancourt, France",06 88 36 11 75,"Monday: 11:00 AM – 1:00 PM, 2:00 – 8:00 PM, Tuesday: 11:00 AM – 1:00 PM, 2:00 – 8:00 PM, Wednesday: 11:00 AM – 1:00 PM, 2:00 – 8:00 PM, Thursday: 11:00 AM – 1:00 PM, 2:00 – 8:00 PM, Friday: 11:00 AM – 1:00 PM, 2:00 – 8:00 PM, Saturday: 11:00 AM – 1:00 PM, 2:00 – 7:00 PM, Sunday: Closed"
Metz,cbd shop,The Good Green - CBD Shop - Metz,"19 Rue Haute Seille, 57000 Metz, France",03 87 35 85 34,"Monday: 1:00 – 8:00 PM, Tuesday: 1:00 – 8:00 PM, Wednesday: 1:00 – 8:00 PM, Thursday: 1:00 – 8:00 PM, Friday: 1:00 – 8:00 PM, Saturday: 1:00 – 8:00 PM, Sunday: Closed"
Metz,cbd shop,CBD Shop,"Bd Solidarité, 57070 Metz, France",,
Metz,cbd shop,High Society - CBD Metz,"26 Pl. Saint-Simplice, 57000 Metz, France",06 02 07 92 18,"Monday: 2:00 – 7:00 PM, Tuesday: 10:00 AM – 7:00 PM, Wednesday: 2:00 – 7:00 PM, Thursday: 10:00 AM – 7:00 PM, Friday: 10:00 AM – 7:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: Closed"
